cluster_key,item_key
8FLVS0,Paris_1610
8FLVS0,Paris_1613
LKF40C,London_1678
LKF40C,London_1685
LKF40C,London_1687
NMR5AW,Paris_1565
NMR5AW,Paris_1565a
NWKWR7,Paris_1551
NWKWR7,Paris_1544
Y63G5P,Rome_1574
Y63G5P,Rome_1589
U0105U,Douai_1625
U0105U,Douai_1633
MBTNS7,Paris_1643b
MBTNS7,Paris_1644a
X65XY0,Ingolstadt_1617
X65XY0,Bologna_1629
C3FKBW,Venice_1505
C3FKBW,Venice_1510
GY8NU4,Basel_1537
GY8NU4,Basel_1546
GY8NU4,Basel_1558
RJJ2ER,Paris_1549
RJJ2ER,Paris_1558a
P3Y44J,Lyon_1557
P3Y44J,Geneva_1610
7BDH40,Paris_1557
7BDH40,Cologne_1564
1E9FSI,Venice_1565
1E9FSI,Venice_1585
1E9FSI,Venice_1586
JG2OCV,Paris_1573
JG2OCV,Paris_1598
O56JUE,Urbino_1575
O56JUE,Pesaro_1619a
6TZUKK,Cologne_1580
6TZUKK,Cologne_1587
RRMFS9,Cologne_1602
RRMFS9,Paris_1602
7BZII3,Beijing_1607
7BZII3,Beijing_1611
XE7Q8U,Geneva_1611
XE7Q8U,Geneva_1628
R1Q2YT,Paris_1615
R1Q2YT,Paris_1621
R1Q2YT,Paris_1631
R1Q2YT,ustc-61
R1Q2YT,ustc-62
PEFQCG,Rotterdam_1647
PEFQCG,Utrecht_1647
IJTAW0,Leiden_1691
IJTAW0,Leiden_1692
DI1HUP,Paris_1667
DI1HUP,The_Hague_1683
TLOW8P,Oxford_1705
TLOW8P,F2WVY3
2LJ5VI,Pisa_1658
2LJ5VI,Rome_1679
V6Q1EV,Paris_1794
V6Q1EV,KVSFF1
V7DASV,ustc-16
V7DASV,ustc-22
S9P7Q7,ustc-8
S9P7Q7,ustc-43
SD0LIA,ustc-11
SD0LIA,ustc-51
53VCU6,ustc-15
53VCU6,ustc-1
53VCU6,ustc-30
A6ANJ3,Innsbruck_1634
A6ANJ3,Innsbruck_1636
NU4ARY,London_1678a
NU4ARY,London_1666
9ZQKIV,Paris_1527
9ZQKIV,Paris_1531
9ZQKIV,Paris_1534
ROG81T,bib-3
ROG81T,bib-4
FOT0ZG,bib-21
FOT0ZG,bib-129
5BXTFG,bib-22
5BXTFG,bib-155
JWV81O,bib-46
JWV81O,bib-47
ATEUPU,bib-55
ATEUPU,bib-56
RDE28F,bib-117
RDE28F,bib-118
MWEUI5,bib-119
MWEUI5,bib-201
SD2Y3X,0CKY65
SD2Y3X,L8R7FQ
NMAV1L,X5YBIB
NMAV1L,LYNX18
IUOBOR,E7J0Y4
IUOBOR,4TJF1A
T5RNN2,6AMYTJ
T5RNN2,OM1R2Y
KNYEAK,ZNLALU
KNYEAK,D7OWCD
KNYEAK,7Y5IWJ
BJ5A61,RH6KEE
BJ5A61,1QQS64
