key,study
London_1685a,tps
London_1703,tps
Leipzig_1577,tps
Strasbourg_1570,tps
Strasbourg_1599,tps
Wittenberg_1609,tps
Wittenberg_1634,tps
Wittenberg_1661,tps
Basel_1550,"dh, tps"
Florence_1690,tps
Bologna_1686,tps
Brussels_1688,tps
Paris_1609,tps
Paris_1610,tps
Kiel_and_Leipzig_1699,tps
Lyon_1690,tps
Cambridge_1655,"dh, tps"
London_1659,tps
Osnabrück_1676,tps
London_1678,tps
London_1685,tps
London_1687,tps
Paris_1643,tps
Milan_1671,tps
Paris_1683,tps
Paris_1690,tps
Paris_1677a,tps
Augsburg_1555,tps
Rotterdam_1661,tps
Amsterdam_1700b,tps
Amsterdam_1701,tps
Ansbach_1610,tps
Amsterdam_1662,tps
Oxford_1701,"dh, tps"
Paris_1598a,"dh, tps"
Paris_1605,tps
Paris_1629,tps
Paris_1640,tps
Paris_1565,tps
Paris_1564,"dh, tps"
Paris_1654a,tps
Brussels_1701,tps
Seville_1576,"dh, tps"
Brussels_1689,tps
Lyon_1672,"dh, tps"
Paris_1682,tps
Amsterdam_1700,tps
Madrid_1665,tps
Paris_1566a,tps
Amsterdam_1702,tps
Leiden_1617,tps
Siena_1691,tps
Paris_1551,tps
Paris_1536,"dh, tps"
Paris_1544,tps
London_1680–81,tps
Pesaro_1619,tps
Strasbourg_1564,"dh, tps"
Strasbourg_1564b,tps
Strasbourg_1566,"dh, tps"
Strasbourg_1564a,tps
Bologna_1651,tps
Bologna_1651a,tps
Amsterdam_1683,tps
Amsterdam_1701b,tps
Cambridge_1703,tps
Rome_1574,"dh, tps"
Cologne_1607,tps
Cologne_1627,tps
Lyon_1660,tps
Lyon_1675,tps
Frankfurt_1674,tps
Rome_1589,tps
Cologne_1591,tps
Rome_1603,tps
Douai_1620,tps
Douai_1625,tps
Rome_1629,tps
Douai_1633,tps
Paris_1643b,tps
Paris_1644a,tps
Antwerp_1645,"dh, tps"
Frankfurt_1654,tps
Paris_1654,"dh, tps"
Rome_1655,tps
Lyon_1674,tps
Frankfurt_1607,tps
London_1654,tps
Cambridge_1665,tps
Würzburg_1661,"dh, tps"
Graz_1636,tps
Bamberg_1677,tps
Ingolstadt_1617,tps
Bologna_1629,tps
Antwerp_1654,"dh, tps"
Antwerp_1672,tps
Padua_1694,tps
Oxford_1685,tps
London_1696,tps
Oxford_London_1700,tps
Amsterdam_1634,tps
London_1686,tps
London_1660,tps
Amsterdam_1618,tps
Venice_1482,"dh, tps"
Arnhem_1605,tps
Vicenza_1491,tps
Venice_1498a,tps
Venice_1505,"dh, tps"
Frankfurt_1506,tps
Venice_1509,tps
Venice_1510,tps
Paris_1516,tps
Basel_1533,"dh, tps"
Basel_1537,tps
Strasbourg_1538,tps
Venice_1543,"dh, tps"
Paris_1545,tps
Rome_1545,tps
Rome_1545a,tps
Basel_1546,tps
Leipzig_1549,tps
Paris_1549,tps
Paris_1551a,tps
Paris_1552,tps
Cologne_1556,tps
Lyon_1557,"dh, tps"
Paris_1557,tps
Basel_1558,tps
Paris_1558,tps
Paris_1558a,tps
Strasbourg_1559,tps
Basel_1562,"dh, tps"
Cologne_1564,tps
Wittenberg_1564,tps
Venice_1565,tps
Paris_1566,"dh, tps"
Venice_1569,tps
London_1570,"dh, tps"
Strasbourg_1570a,tps
Strasbourg_1571,tps
Strasbourg_1571a,tps
Pesaro_1572,"dh, tps"
Paris_1573,tps
Urbino_1575,tps
Venice_1575,tps
Paris_1578,tps
Cologne_1580,tps
Venice_1585,tps
Venice_1586,tps
Cologne_1587,tps
Rome_1594,tps
Paris_1598,tps
Cologne_1600,tps
Cologne_1602,tps
Paris_1602,tps
Arnhem_1603,tps
Arnhem_1605a,tps
Leiden_1606,"dh, tps"
Beijing_1607,tps
Leiden_1607,tps
Geneva_1610,tps
Geneva_1611,tps
Beijing_1611,tps
Cologne_1612,tps
Paris_1612,tps
Paris_1613,tps
Paris_1615,"dh, tps"
Amsterdam_1616,tps
Pesaro_1619a,tps
London_1620,tps
Paris_1621,tps
Paris_1622,tps
Paris_1623,tps
Paris_1624,tps
Amsterdam_1626,tps
Paris_1626a,tps
Ferrara_1628,tps
Geneva_1628,tps
Beijing_1629,tps
Paris_1630,tps
Paris_1631,tps
Paris_1632,tps
Paris_1632a,tps
Rotterdam_1632,tps
Hamburg_1633,tps
Paris_1634,"dh, tps"
Alcala_1637,tps
Hamburg_1638,tps
Paris_1639,tps
Venice_1641,tps
Paris_1644,tps
Paris_1644b,tps
Paris_1644c,tps
Lyon_1645,tps
Lyon_1646,tps
Rotterdam_1647,tps
Utrecht_1647,tps
Venice_1647,tps
Rouen_1649,tps
London_1651,tps
Paris_1652,tps
Amsterdam_1660,tps
London_1661,tps
Leiden_and_Amsterdam_1673,tps
Rouen_1676,tps
Rouen_and_Paris_1677,tps
Naples_1679,tps
Rotterdam_1681,tps
Paris_1682a,"dh, tps"
Lausanne_1683,tps
Rouen_and_Paris_1683,tps
Bologna_1684,tps
Rouen_and_Paris_1685,tps
The_Hague_1690,tps
Leiden_1691,tps
Leiden_1692,tps
Paris_1693,"dh, tps"
Vienna_1694,"dh, tps"
Amsterdam_1695,tps
Amsterdam_1697,tps
Paris_1697,tps
Lübeck_and_Frankfurt_1699,tps
Naples_1701,tps
Milan_1702,tps
Naples_1702,tps
"Kiel,_Hamburg_and_Leipzig_1697",tps
Oxford_1703,"dh, tps"
Lyon_1603,dh
Paris_1667,dh
Lyon_1669,dh
Oxford_1705,dh
Livorno_1709,dh
Lisbon_1735,dh
Paris_1739,dh
Uppsala_1741,dh
Uppsala_1744,dh
Pisa_1658,"dh, tps"
Paris_1675,"dh, tps"
Rome_1680,"dh, tps"
Paris_1685,"dh, tps"
Nuremberg_1625,dh
London_1747,dh
Glasgow_1756,dh
The_Hague_1758,dh
Halle_1758,dh
London_1789,dh
Paris_1794,dh
Edinburgh_1795,dh
Naples_1810,dh
Paris_1814,dh
Nuremberg_1821,dh
Berlin_1824,dh
Lund_1855,dh
Leipzig_1883,dh
1496,tps
Mainz_1611_1612,tps
Strasbourg_1529,tps
Paris_1532,tps
Paris_1534a,tps
Nuremberg_1539,tps
Basel_1546b,tps
ustc-44,tps
Paris_1557a,tps
Paris_1557b,tps
Strasbourg_1557,tps
Messina_1558,tps
Paris_1565a,tps
Paris_1566b,tps
Valencia_1569,tps
Florence_1573,tps
ustc-32,tps
Madrid_1585,tps
Ferrara_1587,tps
Tours_1593,tps
Leiden_1599,tps
ustc-29,tps
Paris_1604,tps
ustc-16,tps
ustc-8,tps
ustc-22,tps
ustc-43,tps
ustc-14,tps
ustc-54,tps
ustc-2,tps
ustc-18,tps
ustc-31,tps
Leiden_1615,tps
ustc-3,tps
ustc-33,tps
ustc-56,tps
ustc-59,tps
ustc-57,tps
Bologna_1620,"dh, tps"
ustc-55,tps
ustc-58,tps
ustc-39,tps
ustc-61,tps
ustc-62,tps
ustc-36,tps
ustc-60,tps
ustc-11,tps
ustc-21,tps
ustc-51,tps
Strasbourg_1625,tps
ustc-4,tps
Paris_1626,tps
ustc-9,tps
ustc-10,tps
ustc-23,tps
ustc-38,tps
ustc-50,tps
ustc-26,tps
ustc-40,tps
Jena_1628,tps
ustc-6,tps
ustc-15,tps
ustc-41,tps
ustc-47,tps
ustc-48,tps
ustc-49,tps
ustc-28,tps
ustc-27,tps
ustc-52,tps
Innsbruck_1634,tps
ustc-5,tps
ustc-24,tps
ustc-34,tps
ustc-45,tps
ustc-25,tps
Innsbruck_1636,tps
ustc-12,tps
ustc-46,tps
ustc-7,tps
ustc-13,tps
ustc-1,tps
ustc-30,tps
ustc-35,tps
ustc-63,tps
ustc-20,tps
ustc-19,tps
ustc-53,tps
ustc-17,tps
Amsterdam_1660a,tps
ustc-42,tps
Paris_1661,tps
Le_Mans_1663,tps
Bologna_1663,tps
Turin_1671,tps
Amsterdam_1672,tps
Valencia_1673,tps
Florence_1674,tps
London_1678a,"dh, tps"
Rome_1679,tps
The_Hague_1683,tps
Paris_1689,tps
Venice_1491,tps
Venice_1498,tps
Paris_1500,tps
Paris_1507,tps
Paris_1511,tps
Paris_1516a,tps
Paris_1521,tps
Paris_1527,tps
Paris_1531,tps
Paris_1534,tps
Paris_1538,tps
