key,field,en,source
Leipzig_1577,title,"Euclid's Elements Books Six. EUCLID'S ELEMENTS OF GEOMETRY SIX BOOKS translated into Latin by Joachim Camerarius. TO WHICH ARE ADDED the Demonstrations of the first three books, and published for the benefit and utility of students of Mathematics in the Academy of Leipzig by Maurice Steinmetz Gersbach, Licensed in Medicine.",summer_2025
Leipzig_1577,imprint,LEIPZIG Year 1577.,summer_2025
Strasbourg_1570,title,"EUCLID'S ELEMENTS THE FIRST. HERON OF ALEXANDRIA geometric names. EUCLID'S ELEMENTS Book One. HERON OF ALEXANDRIA geometric terms: never before published. in Greek & Latin. By Cunradus Dasypodius, for the use of the Academy of Strasbourg.",summer_2025
Strasbourg_1570,imprint,ARGENTORATI At the heirs of Christian Mylij. 1570.,summer_2025
Strasbourg_1599,title,"EUCLID'S ELEMENTS FIRST. EUCLID'S ELE-
MENT first. FOR THE ACADEMY OF Strasbourg.",summer_2025
Strasbourg_1599,imprint,"ARGENTORATI PRINTED BY Josias Rihelius, through Andreas Rietschius. Year 1599.",summer_2025
Wittenberg_1609,title,"THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprehended with concise & clear demonstrations by M. AMBROSIO RHODIO of Kemberg, Extraordinary Professor of Mathematics at the Leucorea Academy.",summer_2025
Wittenberg_1609,imprint,"Printed by Gormanian types, at the expense of Paul Helwig. 1609.",summer_2025
Wittenberg_1634,title,"THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprised with concise & clear demonstrations by Mr. AMBROSIO RHODIO of Kemberg, Senior Professor of Mathematics at the University of Leucorea. Posthumous edition, more Corrected & Amended than the previous one.",summer_2025
Wittenberg_1634,imprint,"VVITTEBERGÆ, At the expense of the heirs of Paul Helwig, Bookseller. Printed by AMBROSIO ROTHIO. Year 1634.",summer_2025
Wittenberg_1661,title,"THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprised with concise & clear demonstrations by Mr. Ambrosius Rhodius, of Kemberg, Senior Professor of Mathematics at the public Academy of Leucorea. Latest edition, more Correct & Improved than the previous one.",summer_2025
Wittenberg_1661,imprint,"WITTEBERGÆ, Printed & published by Job Wilh. Fincelius, Year 1661.",summer_2025
Basel_1550,title,"EVCLIDIS of Megara, an EXCELLENT Philosopher & Mathematician, THE FIRST SIX BOOKS, ON Geometric principles, in Greek & Latin, together with the demonstrations of propositions, without the use of letters, true and proper, & with some others, concerning their use, added not without the greatest benefit to the students of this art. MOREOVER, THE RULES OF ALGEBRA, DUE TO THE examples of numbers, are added throughout the propositions, and are prefaced to these books, and the same are demonstrated. BY THE AUTHOR IOANNES SCHEVBELIUS, IN the renowned Academy of Tübingen, the ordinary professor of Euclid.",summer_2025
Basel_1550,imprint,"With grace & privilege of the Emperor, for five years.
BASEL, BY IOANnes Herwagen.",summer_2025
Florence_1690,title,"Vol. 1: ELEMENTS OF PLANE AND SOLID GEOMETRY BY EUCLID TO THE MOST ILLUSTRIOUS MEMBERS OF THE ACADEMY OF NOBLES.
Vol. 2: THE FIFTH BOOK OF EUCLID'S ELEMENTS, OR UNIVERSAL SCIENCE OF PROPORTIONS EXPLAINED WITH THE DOCTRINE OF GALILEO, With new order
extended, and published by Vincenzio Viviani, his last Disciple.",summer_2025
Florence_1690,imprint,"Vol. 1: IN FLORENCE, By Cesare, and Francesco Bindi. 1690.
For Carlieri at the Sign of St. Louis. With License of the Superiors.
Vol. 2: IN FLORENCE, By Cesare, and Francesco Bindi 1690. And sold at the Sign of St. Louis With license of the Super.",summer_2025
Bologna_1686,title,OF THE ELEMENTS OF EUCLID The First Six Books Translated into Italian TO THE MOST ILLUSTRIOUS SENATE OF BOLOGNA.,summer_2025
Bologna_1686,imprint,"In Bologna, for Gioseffo Longhi. 1686. With permission of the Superiors.",summer_2025
Brussels_1688,title,"THE FIRST SIX BOOKS, ELEVEN, AND TWELVE OF THE ELEMENTS OF EUCLID OF MEGARA: Augmented with
many curious Propositions that facilitate its use. DIRECTED To the Most Excellent Lord MARQUIS OF BEDMAR, Captain General of the Artillery of the Army of the Low Countries. By Captain DON SEBASTIAN FERNANDEZ DE MEDRANO, Master of
Mathematics by His Majesty in said Army.",summer_2025
Brussels_1688,imprint,"IN BRUSSELS, At the House of LAMBERTO MARCHANT,
Bookseller. M. DC. LXXXVIII.",summer_2025
Paris_1609,title,"THE
ELEMENTS
OF GEOMETRY
OF EUCLID OF MEGARA.
Translated & restored to their ancient brevity, according
to the order of Theon. To which have been added
the fourteenth & fifteenth of Ipsicles
of Alexandria.
All by DOVNOT OF BAR-LE-DUC, Doctor
of Laws, & Professor in the divine Mathematics
at the King's Academies.",summer_2025
Paris_1609,imprint,"IN PARIS, At JACQUES LE ROY, at the Hope before the College of Cambray. C I D I C C. I X.",summer_2025
Paris_1610,title,"THE
ELEMENTS
OF GEOMETRY
OF EUCLID OF MEGARA.
Translated & restored to their ancient brevity, according
to the order of Theon. To which have been added
the fourteenth & fifteenth of Ipsicles
of Alexandria.
All by DOVNOT DE BAR-LE-DUC, Doctor
of Laws, & Professor in the divine Mathematics
at the King's Academies.",summer_2025
Paris_1610,imprint,"IN PARIS, At JACQUES LE ROY, at the Hope before the College of Cambray. M DC. X.",summer_2025
Kiel_and_Leipzig_1699,title,"Samuel Reyhers, JCti, At the High-Princely Holstein University Codic. and Mathematics Prof. In German Language presented EUCLIDES, Whose first VI books in a special and very easy way, With Algebraic, or from the latest Art of Solution borrowed signs, so that one can use their proofs also in other languages, arranged, also the lectures of the II. Book together with the common, in an Algebraic manner are proven.",summer_2025
